[13:11:45] [INFO] received Windows console close event; shutting log-core down
[13:18:51] [INFO] received Windows console close event; shutting log-core down
[13:19:38] [INFO] received Windows console close event; shutting log-core down
[13:22:48] [INFO] received Windows console close event; shutting log-core down
[13:27:24] [INFO] received Windows console close event; shutting log-core down
[13:27:40] [INFO] received Windows console close event; shutting log-core down
[13:33:08] [INFO] received Windows console close event; shutting log-core down
[13:36:01] [INFO] received Windows console close event; shutting log-core down
[13:37:30] [INFO] received Windows console close event; shutting log-core down
[13:38:19] [INFO] received Windows console close event; shutting log-core down
[13:42:37] [INFO] received Windows console close event; shutting log-core down
[13:52:27] [INFO] received Windows console close event; shutting log-core down
[13:56:15] [INFO] received Windows console close event; shutting log-core down
[14:29:32] [INFO] received Windows console close event; shutting log-core down
[14:57:15] [INFO] received Windows console close event; shutting log-core down
[17:12:45] [INFO] received Windows console close event; shutting log-core down
[17:36:34] [INFO] received Windows console close event; shutting log-core down
[17:39:01] [INFO] received Windows console close event; shutting log-core down
[10:35:24] [INFO] received Windows console close event; shutting log-core down
[10:45:19] [INFO] received Windows console close event; shutting log-core down
[10:53:11] [INFO] received Windows console close event; shutting log-core down
[10:54:48] [INFO] received Windows console close event; shutting log-core down
[13:08:27] [INFO] received Windows console close event; shutting log-core down
[14:55:20] [INFO] received Windows console close event; shutting log-core down
[14:57:15] [INFO] received Windows console close event; shutting log-core down
[14:58:32] [INFO] received Windows console close event; shutting log-core down
[15:00:55] [INFO] received Windows console close event; shutting log-core down
[15:12:08] [INFO] received Windows console close event; shutting log-core down
[15:12:15] [INFO] received Windows console close event; shutting log-core down
[15:14:58] [INFO] received Windows console close event; shutting log-core down
[15:15:39] [INFO] received Windows console close event; shutting log-core down
[15:16:27] [INFO] received Windows console close event; shutting log-core down
[15:18:13] [INFO] received Windows console close event; shutting log-core down
[15:19:42] [INFO] received Windows console close event; shutting log-core down
[15:20:16] [INFO] received Windows console close event; shutting log-core down
[15:23:49] [INFO] received Windows console close event; shutting log-core down
[15:27:02] [INFO] received Windows console close event; shutting log-core down
[15:29:45] [INFO] received Windows console close event; shutting log-core down
[15:32:41] [INFO] received Windows console close event; shutting log-core down
[15:34:00] [INFO] received Windows console close event; shutting log-core down
[15:35:37] [INFO] received Windows console close event; shutting log-core down
[15:36:28] [INFO] received Windows console close event; shutting log-core down
[15:37:29] [INFO] received Windows console close event; shutting log-core down
[15:44:26] [INFO] received Windows console close event; shutting log-core down
[15:45:53] [INFO] received Windows console close event; shutting log-core down
[16:07:03] [INFO] received Windows console close event; shutting log-core down
[17:24:15] [INFO] received Windows console close event; shutting log-core down
[18:03:42] [INFO] received Windows console close event; shutting log-core down
[18:33:04] [INFO] received Windows console close event; shutting log-core down
[18:35:44] [INFO] received Windows console close event; shutting log-core down
[18:37:44] [INFO] received Windows console close event; shutting log-core down
[18:41:25] [INFO] received Windows console close event; shutting log-core down
[19:01:20] [INFO] received Windows console close event; shutting log-core down
[20:25:31] [INFO] received Windows console close event; shutting log-core down
[20:28:17] [INFO] received Windows console close event; shutting log-core down
[20:36:29] [INFO] received Windows console close event; shutting log-core down
[20:38:26] [INFO] received Windows console close event; shutting log-core down
[20:42:18] [INFO] received Windows console close event; shutting log-core down
[20:44:03] [INFO] received Windows console close event; shutting log-core down
[20:46:26] [INFO] received Windows console close event; shutting log-core down
[20:58:51] [INFO] received Windows console close event; shutting log-core down
[21:01:25] [INFO] received Windows console close event; shutting log-core down
[21:44:08] [INFO] received Windows console close event; shutting log-core down
[21:49:49] [INFO] received Windows console close event; shutting log-core down
[21:50:01] [INFO] received Windows console close event; shutting log-core down
[22:13:16] [INFO] received Windows console close event; shutting log-core down
[13:28:47] [INFO] received Windows console close event; shutting log-core down
[13:31:57] [INFO] received Windows console close event; shutting log-core down
[13:38:10] [INFO] received Windows console close event; shutting log-core down
[13:38:49] [INFO] received Windows console close event; shutting log-core down
[13:50:10] [INFO] received Windows console close event; shutting log-core down
[13:55:02] [INFO] received Windows console close event; shutting log-core down
[15:04:41] [INFO] received Windows console close event; shutting log-core down
[15:07:25] [INFO] received Windows console close event; shutting log-core down
[12:18:10] [INFO] received Windows console close event; shutting log-core down
[12:18:27] [INFO] received Windows console close event; shutting log-core down
[12:19:22] [INFO] received Windows console close event; shutting log-core down
[12:19:55] [INFO] received Windows console close event; shutting log-core down
[12:20:46] [INFO] received Windows console close event; shutting log-core down
[12:20:50] [INFO] received Windows console close event; shutting log-core down
[12:28:06] [INFO] received Windows console close event; shutting log-core down
[12:28:40] [INFO] received Windows console close event; shutting log-core down
[12:37:05] [INFO] received Windows console close event; shutting log-core down
[12:40:34] [INFO] received Windows console close event; shutting log-core down
[12:49:48] [INFO] received Windows console close event; shutting log-core down
[12:59:58] [INFO] received Windows console close event; shutting log-core down
[13:20:02] [INFO] received Windows console close event; shutting log-core down
[13:20:44] [INFO] received Windows console close event; shutting log-core down
[13:35:03] [INFO] received Windows console close event; shutting log-core down
[13:45:56] [INFO] received Windows console close event; shutting log-core down
[13:49:03] [INFO] received Windows console close event; shutting log-core down
[13:49:15] [INFO] received Windows console close event; shutting log-core down
[14:06:16] [INFO] received Windows console close event; shutting log-core down
[17:56:27] [INFO] received Windows console close event; shutting log-core down
[18:14:34] [INFO] received Windows console close event; shutting log-core down
[12:42:47] [INFO] received Windows console close event; shutting log-core down
[13:40:13] [INFO] received Windows console close event; shutting log-core down
[13:41:10] [INFO] received Windows console close event; shutting log-core down
[14:04:35] [INFO] received Windows console close event; shutting log-core down
